개방서비스명,영업상태명,폐업년도,폐업일자,위치,도로명전체주소,사업장명
수영장업,폐업,2020,20200922,경기,"경기도 광명시 하안로288번길 15 (하안동, 조일프라자(지하4층))",예체능수영장
수영장업,폐업,2019,20190325,경기,경기도 김포시 월곶면 군하로 65,김포스파월드
수영장업,폐업,2019,20190710,경기,"경기도 시흥시 서해안로 900 (월곶동, 시흥에코피아주식회사)",월곶에코피아 워터파크
수영장업,폐업,2020,20200921,인천,"인천광역시 연수구 새말로 27, 동남아파트 (연수동)",동남스포피아 수영장
수영장업,폐업,2019,20191227,인천,"인천광역시 연수구 청학로 49 (청학동, 청학풀장)",청학풀장
수영장업,폐업,2020,20200422,인천,인천광역시 강화군 강화읍 충렬사로 138,명진스포츠 문화센터
수영장업,폐업,2016,20160721,인천,인천광역시 강화군 내가면 고비고개로741번길 107 (바다의별청소년수련원),바다의별 청소년수련원
수영장업,폐업,2019,20190118,인천,인천광역시 강화군 내가면 고비고개로 663,삼별초수영장
수영장업,폐업,2017,20170804,경상,경상남도 창녕군 부곡면 온천중앙로 77,부곡하와이 수영장
수영장업,폐업,2018,20181231,경상,경상북도 칠곡군 왜관읍 관문로1길 32,칠곡수영장
수영장업,폐업,2019,20190818,서울,"서울특별시 도봉구 도봉로168길 30, 성균관대학교종합운동장 (도봉동)",도봉구 야외수영장
수영장업,폐업,2019,20190902,충청,충청북도 제천시 동명로 77 (명동),제천시야외물놀이장
수영장업,폐업,2016,20160613,전라,"전라남도 목포시 양을로41번길 24 (산정동, 중앙하이츠)",(주)산정스포렉스
수영장업,폐업,2018,20180305,전라,전라남도 장성군 장성읍 안평장동길 13,학교가자캠핑장
수영장업,폐업,2016,20160608,경상,경상북도 영주시 장수면 충효로2032번길 46,장수관광농원 수영장
수영장업,폐업,2017,20170828,경상,경상북도 구미시 금오산로 341 (남통동),금오랜드수영장
수영장업,폐업,2019,20190424,경상,경상북도 구미시 금오산로 217-16 (남통동),J스포렉스
수영장업,폐업,2018,20181004,광주,광주광역시 북구 우치로 677 (생용동),광주패밀리랜드 수영장
수영장업,폐업,2020,20200228,서울,"서울특별시 강남구 개포로22길 87, 포이초등학교 (개포동)",포이 교육문화 체육센터
수영장업,폐업,2019,20191223,경상,경상북도 경주시 경감로 614 (천군동),경주엑스포 여름 Pool 축제
수영장업,폐업,2016,20161102,경기,"경기도 고양시 일산동구 일산로 197, 5001호 (마두동, 센타21)",백마 수영장
수영장업,폐업,2020,20200803,경기,"경기도 고양시 일산동구 약산길 2, 부성빌딩 지하층 (중산동)",늘푸른 수영장
수영장업,폐업,2017,20170901,경기,"경기도 고양시 덕양구 고양대로1670번길 88, 지층 (원흥동)",무지개 수영교실
수영장업,폐업,2020,20200221,전라,전라남도 해남군 계곡면 사촌길 2,해남흑석산수영장
수영장업,폐업,2020,20200909,전라,전라남도 여수시 오동도로 61-13 (수정동),베네치아호텔앤리조트
수영장업,폐업,2019,20190611,대구,"대구광역시 수성구 상화로5길 40, 지하층 (상동, 대구수성초등학교)",수성수영장
수영장업,폐업,2017,20170405,대구,대구광역시 수성구 달구벌대로528길 15 (만촌동),강산스포츠센터
수영장업,폐업,2017,20171013,대구,"대구광역시 수성구 동대구로 59, C동 B3층 (두산동, 대우트럼프월드수성아파트)",비잔휘트니스
수영장업,폐업,2017,20170518,대구,"대구광역시 수성구 팔현길 212 (만촌동, 호텔인터불고)",(주)즐거운세상 인터불고호텔 실외수영장
수영장업,폐업,2019,20190704,제주,제주특별자치도 제주시 한경면 낙수로 271-40,돌하르방 캠핑장
수영장업,폐업,2018,20180718,경기,"경기도 포천시 화현면 화동로432번길 26 (508-1, 508-2, 509-4)",운악수영장
수영장업,폐업,2017,20170426,제주,제주특별자치도 서귀포시 용흥로66번길 158-7 (강정동),토스카나호텔 수영장
수영장업,폐업,2017,20170526,제주,제주특별자치도 서귀포시 김정문화로 15 (강정동),호텔빠레브 수영장
수영장업,폐업,2020,20200916,제주,제주특별자치도 서귀포시 태평로 474 (서귀동),서귀포중학교 실내수영장
수영장업,폐업,2020,20200630,제주,제주특별자치도 서귀포시 색달중앙로252번길 124 (색달동),(주)호텔롯데 롯데리조트제주
수영장업,폐업,2019,20191107,제주,제주특별자치도 제주시 한경면 판조로 253-6,(주)비체올린 수영장
수영장업,폐업,2018,20181101,제주,제주특별자치도 제주시 삼무로 67 (연동),(주)지앤엘 더호텔제주수영장
수영장업,폐업,2017,20170727,전라,전라북도 정읍시 고부면 입석4길 53,황토현 푸른터
수영장업,폐업,2017,20170804,전라,전라북도 정읍시 정읍사로 547 (시기동),YMCA청소년수련관
수영장업,폐업,2020,20201229,전라,전라북도 군산시 새만금북로 435 (오식도동),(주)비지에이치코리아 군산호텔(베스트웨스턴 군산호텔)
수영장업,폐업,2018,20180720,경상,경상남도 사천시 사남면 삼상로 832,진분계실외수영장
수영장업,폐업,2019,20191016,경상,"경상북도 경주시 보문로 402-12 (신평동,대명리조트 지하 1층)",(주)대명호텔앤리조트 경주지점
수영장업,폐업,2019,20190702,경상,경상북도 경주시 불국로 289-17 (마동),코오롱엘에스아이(주) 코오롱호텔 실외수영장
수영장업,폐업,2020,20200921,경기,"경기도 안양시 만안구 예술공원로 153-32, 지하2, 3층 (석수동)",안양워터랜드
수영장업,폐업,2020,20201101,경기,경기도 안양시 만안구 안양로329번길 108 (안양동),롯데프라자스포츠쎈터
수영장업,폐업,2018,20181218,경기,"경기도 안양시 동안구 관악대로 183 (비산동, 동양월드타워)",도도 스포츠센터
수영장업,폐업,2020,20200707,경기,"경기도 의정부시 신흥로207번길 27, 지층 (의정부동, 믿음신협협동조합)",우리동네 스포츠센터
수영장업,폐업,2017,20170908,전라,"전라북도 전주시 완산구 용리로 143 (삼천동1가, 삼익수영장)",삼익수영장
수영장업,폐업,2020,20201102,전라,전라북도 전주시 덕진구 기린대로 358 (금암동),더이지스윔스쿨
수영장업,폐업,2018,20180510,전라,"전라북도 전주시 완산구 원효자길 20, 1층 (효자동2가)",웰니스업
수영장업,폐업,2018,20180131,전라,전라북도 전주시 완산구 학전길 13 (원당동),학전 수영장
수영장업,폐업,2019,20191231,강원,강원도 동해시 일출로 151 (묵호진동),삼양비치 해수수영장
수영장업,폐업,2016,20160218,경상,"경상남도 김해시 내외로77번길 12,  1601호 (내동,경보스포츠프라자)",경보수영장
수영장업,폐업,2019,20190228,경상,경상남도 창원시 마산합포구 진북면 진북산업로 308,진북황실온천
수영장업,폐업,2018,20180826,경상,경상북도 문경시 가은읍 왕능길 114,에코랄라 워터랜드
수영장업,폐업,2017,20170524,대구,"대구광역시 서구 문화로 322, 5층 (비산동)",엠스포짐
골프장,폐업,2019,20190502,경기,경기도 포천시 내촌면 금강로2536번길 27,(주)예지실업 베어스타운 일반대중골프장
골프장,폐업,2016,20160325,경기,경기도 안성시 죽산면 녹배길 175,에덴블루C.C
