개방서비스명,인허가년도,인허가일자,영업상태명,폐업년도,폐업일자,위치,도로명전체주소,사업장명
무도학원업,2012,20120508,폐업,2020,20200414,대전,"대전광역시 유성구 계룡로141번길 29-17, 202호 (봉명동)",그레이스 볼룸
무도학원업,1998,19980612,폐업,2020,20201228,대전,대전광역시 동구 대전로807번길 34 (중동),중앙무도학원
무도학원업,2004,20040923,폐업,2020,20200325,전라,전라북도 익산시 익산대로20길 42  (창인동1가),유진짝무도학원
무도학원업,2008,20081008,폐업,2020,20201023,경기,경기도 의정부시 태평로108번길 29 (의정부동),청하무도학원
무도학원업,2004,20041011,폐업,2020,20200928,경기,"경기도 의정부시 평화로484번길 8, 3층 (의정부동)",웨딩스포츠댄스
무도학원업,2011,20110118,폐업,2020,20201228,경기,경기도 의정부시 시민로132번길 14 (의정부동),이혜진 댄스 아카데미
무도학원업,2000,20000925,폐업,2020,20200408,경기,"경기도 의정부시 호국로 1329, 지하1층 (의정부동, 원승빌딩)",대한댄스스포츠 학원
무도학원업,2006,20061020,폐업,2020,20200311,경기,경기도 용인시 처인구 금령로90번길 8 (김량장동),용인무도학원
무도학원업,2014,20140228,폐업,2020,20200720,부산,"부산광역시 동구 범일로90번길 4, 3층 (범일동)",위너스 댄스스포츠 스튜디오
무도학원업,2020,20200403,폐업,2020,20200616,경기,"경기도 수원시 팔달구 정조로810번길 7-16, 지하1층 (팔달로1가)",뉴욕무도학원
무도학원업,2000,20000418,폐업,2020,20201202,경기,경기도 수원시 팔달구 경수대로466번길 20 (인계동),한솔무도학원
무도학원업,2008,20081105,폐업,2020,20200727,경기,"경기도 동두천시 중앙로 263  (생연동,제2동 2층)",댄스 터미널 무도학원
무도학원업,2008,20080609,폐업,2020,20201020,경기,"경기도 동두천시 동광로 50 (생연동,2층)",로데오 무도학원
무도학원업,2016,20160630,폐업,2020,20200813,경기,"경기도 동두천시 동광로52번길 21, 2층 (생연동)",중앙시장 무도학원
무도학원업,2000,20000905,폐업,2020,20200827,경기,경기도 동두천시 상패로 212-8 (보산동),월드댄스스포츠스쿨
무도학원업,1997,19971128,폐업,2020,20200731,대구,"대구광역시 동구 동촌로48길 6 (방촌동,3층)",동방무도학원
무도학원업,2020,20200311,폐업,2020,20200407,경상,"경상북도 의성군 의성읍 중앙길 76-4, 2층",천호농업회사법인주식회사(청년괴짜방)
무도학원업,1999,19990701,폐업,2020,20201005,서울,"서울특별시 영등포구 영등포로 231-1, 3층 (영등포동5가)",5호선스포츠댄스
무도학원업,1999,19990801,폐업,2020,20200428,서울,서울특별시 용산구 한강대로 291 (갈월동),유진댄스
무도학원업,2016,20160907,폐업,2020,20201104,경기,경기도 시흥시 호현로10번길 7 (신천동),모두랑 댄스스포츠
무도학원업,2010,20101118,폐업,2020,20201126,경기,"경기도 시흥시 서촌상가2길 12  (정왕동,한미프라자 201,202호)",한미댄스무도학원
무도학원업,1999,19991206,폐업,2020,20201027,경기,경기도 부천시 신흥로 32 (심곡동),퀸 댄스
무도학원업,2016,20160512,폐업,2020,20201020,경기,"경기도 부천시 소향로37번길 31-17, 2층 일부호 (상동, 유원프라자)",PL댄스스포츠
무도학원업,2002,20020822,폐업,2020,20200917,인천,인천광역시 미추홀구 독배로 440-1  (숭의동),상록수무도학원
무도학원업,2011,20111114,폐업,2020,20200810,인천,인천광역시 미추홀구 주안로 107 (주안동),파퓰러댄스학원
무도학원업,2019,20191126,폐업,2020,20201125,경기,"경기도 평택시 평택로64번길 21-5, 2층 (평택동)",만남 댄스
무도학원업,2010,20100726,폐업,2020,20200529,경기,"경기도 성남시 분당구 성남대로 30 (구미동,동아그린프라자 지하1층 B01,B02,B31,B05일부,B07일부)",이수정댄스스포츠학원
무도학원업,2006,20060517,폐업,2020,20200610,경기,"경기도 성남시 분당구 야탑로69번길 24-8, 502호 (야탑동, 분당종합상가)",가디스 무도학원
무도학원업,1999,19991011,폐업,2020,20200713,경기,"경기도 고양시 일산서구 강성로 147, 301,302호 (주엽동, 동문씨티프라자)",삼성무도학원
무도학원업,1994,19941219,폐업,2020,20200709,광주,광주광역시 북구 중가로 97-2 (중흥동),만석궁무도학원
무도학원업,2019,20190916,폐업,2020,20201008,경상,"경상남도 함양군 함양읍 용평3길 39, 2층",대정무도학원
무도학원업,2003,20030725,폐업,2020,20200325,제주,제주특별자치도 제주시 서광로 234 (삼도일동),제주댄스스포츠무도학원
무도학원업,2003,20030725,폐업,2020,20200325,제주,제주특별자치도 제주시 서광로 234 (삼도일동),제주댄스스포츠무도학원
무도학원업,2001,20010103,폐업,2020,20200525,제주,제주특별자치도 제주시 서광로11길 3 (삼도일동),청솔무도학원
무도학원업,2000,20000615,폐업,2020,20200525,제주,제주특별자치도 제주시 서광로 224 (삼도일동),나래무도학원
무도학원업,2004,20040510,폐업,2020,20201228,경상,경상북도 김천시 평화시장2길 2 (평화동),현대댄스스쿨
무도학원업,1992,19920828,폐업,2020,20200818,대구,대구광역시 중구 중앙대로61길 14 (남산동),송림무도학원
무도학원업,2019,20190311,폐업,2020,20201224,부산,"부산광역시 사하구 낙동남로1405번길 14, 3층 (하단동)",에덴학원
무도학원업,2018,20180313,폐업,2020,20200806,제주,"제주특별자치도 제주시 중앙로 265, 성우빌딩 지하1층 (이도이동)",이정의 탑댄스스포츠 스쿨
무도학원업,1999,19990921,폐업,2020,20200211,제주,제주특별자치도 제주시 신산로2길 3 (일도일동),제주무도학원
무도학원업,2003,20031103,폐업,2020,20200603,전라,"전라북도 군산시 장미2길 11  (장미동,3층)",진포무도학원
무도학원업,2004,20040910,폐업,2020,20201208,경상,경상남도 창녕군 남지읍 낙동로 530,남지댄스스포츠무도학원
무도학원업,2017,20171218,폐업,2020,20200113,경상,"경상남도 창원시 의창구 용지로153번길 10, 동원빌딩 501호 (용호동)",K.K.댄스스포츠
